EmployeeID,FirstName,LastName,EmailAddress,JoinedDate,Joined Month
E15359,Cissy,Gallichan,cissy.gallichan@rchg.org.uk,17-Oct-23,October
E12303,Petronella,Kellet,petronella.kellet@rchg.org.uk,16-Oct-19,October
E13635,Elianora,Borge,elianora.borge@rchg.org.uk,1-Oct-18,October
E17294,Lydie,Mathey,lydie.mathey@rchg.org.uk,19-Oct-23,October
E13801,Tymon,Gerlack,tymon.gerlack@rchg.org.uk,10-Oct-19,October
E16198,Otis,Knevit,otis.knevit@rchg.org.uk,18-Oct-22,October
E18818,Annemarie,Kielty,annemarie.kielty@rchg.org.uk,25-Oct-20,October
E15638,Eilis,Keniwell,eilis.keniwell@rchg.org.uk,29-Oct-23,October
E11799,Janie,Bracknall,janie.bracknall@rchg.org.uk,9-Oct-19,October
E12731,Venus,Glison,venus.glison@rchg.org.uk,29-Oct-18,October
E12209,Kellie,Caplen,kellie.caplen@rchg.org.uk,15-Oct-19,October
E12250,Raffarty,Gellion,raffarty.gellion@rchg.org.uk,22-Oct-20,October
E17257,Lanae,Mulchrone,lanae.mulchrone@rchg.org.uk,19-Oct-19,October
E13915,Lilian,Hatwells,lilian.hatwells@rchg.org.uk,30-Oct-18,October
E18027,Katheryn,Flaws,katheryn.flaws@rchg.org.uk,22-Oct-18,October
E12680,Nananne,Schulz,nananne.schulz@rchg.org.uk,5-Oct-20,October
E18563,Jesse,Castille,jesse.castille@rchg.org.uk,7-Oct-24,October
E15121,Agnese,Riolfo,agnese.riolfo@rchg.org.uk,30-Oct-19,October
E11069,Melicent,Caveney,melicent.caveney@rchg.org.uk,28-Oct-24,October
E12741,Cordie,Rosander,cordie.rosander@rchg.org.uk,15-Oct-24,October
E11246,Gwyneth,Linch,gwyneth.linch@rchg.org.uk,19-Oct-18,October
E13071,Greta,Prewer,greta.prewer@rchg.org.uk,30-Oct-19,October
E13857,Gaspard,Gisborne,gaspard.gisborne@rchg.org.uk,22-Oct-24,October
E15490,Edlin,De Benedictis,edlin.de benedictis@rchg.org.uk,20-Oct-19,October
E14391,Ian,Emmanuel,ian.emmanuel@rchg.org.uk,25-Oct-20,October
E13228,Penelopa,Synan,penelopa.synan@rchg.org.uk,21-Oct-19,October
E13984,Kristel,Ould,kristel.ould@rchg.org.uk,31-Oct-18,October
E17170,Alexei,Simecek,alexei.simecek@rchg.org.uk,23-Oct-23,October
E15065,Andrei,Giddins,andrei.giddins@rchg.org.uk,1-Oct-23,October
E18934,Inge,McCooke,inge.mccooke@rchg.org.uk,12-Oct-22,October
E17703,Jamima,Whitlam,jamima.whitlam@rchg.org.uk,9-Oct-20,October
E12691,Decca,Smuth,decca.smuth@rchg.org.uk,26-Oct-21,October
E17492,Grady,Studdard,grady.studdard@rchg.org.uk,4-Oct-20,October
E17580,Jasun,MacGuigan,jasun.macguigan@rchg.org.uk,27-Oct-22,October
E16406,Wenona,Killelea,wenona.killelea@rchg.org.uk,21-Oct-23,October
E15637,Stu,Corsham,stu.corsham@rchg.org.uk,22-Oct-24,October
E15213,Fair,Imlock,fair.imlock@rchg.org.uk,27-Oct-22,October
E13458,Roberta,Sexon,roberta.sexon@rchg.org.uk,6-Oct-19,October
E11109,Killie,Phoenix,killie.phoenix@rchg.org.uk,15-Oct-19,October
E18322,Stan,Riglesford,stan.riglesford@rchg.org.uk,6-Oct-23,October
E14063,Mikey,Provis,mikey.provis@rchg.org.uk,12-Oct-18,October
E11176,Niccolo,Kirtland,niccolo.kirtland@rchg.org.uk,26-Oct-18,October
E18362,Yoshi,Spellicy,yoshi.spellicy@rchg.org.uk,28-Oct-23,October
E17590,Callida,Phelipeaux,callida.phelipeaux@rchg.org.uk,31-Oct-23,October
E13722,Quinn,Broose,quinn.broose@rchg.org.uk,3-Oct-21,October
E15776,Micheal,Martinet,micheal.martinet@rchg.org.uk,23-Oct-22,October
E11612,Fernandina,Brockhouse,fernandina.brockhouse@rchg.org.uk,20-Oct-23,October
E17346,Ilyssa,Frenchum,ilyssa.frenchum@rchg.org.uk,22-Oct-18,October
E12387,Hayyim,Iacoviello,hayyim.iacoviello@rchg.org.uk,12-Oct-24,October
E15422,Patty,Ponder,patty.ponder@rchg.org.uk,29-Oct-20,October
E14885,Igor,Beddall,igor.beddall@rchg.org.uk,2-Oct-19,October
E19148,Bryant,Eddowis,bryant.eddowis@rchg.org.uk,2-Oct-22,October
E11199,Carlota,Cudbertson,carlota.cudbertson@rchg.org.uk,13-Oct-20,October
E17057,Cthrine,Thurnham,cthrine.thurnham@rchg.org.uk,29-Oct-20,October
E11283,Meta,Scarrott,meta.scarrott@rchg.org.uk,28-Oct-23,October
E19902,Novelia,Serman,novelia.serman@rchg.org.uk,21-Oct-24,October
E12515,Julio,Mendez,julio.mendez@rchg.org.uk,14-Oct-22,October
E14678,Pat,Tawse,pat.tawse@rchg.org.uk,12-Oct-21,October
E11781,Sindee,Kimmel,sindee.kimmel@rchg.org.uk,25-Oct-18,October
E18006,Kerwin,Kesby,kerwin.kesby@rchg.org.uk,7-Oct-23,October
E18841,Waylin,Cay,waylin.cay@rchg.org.uk,9-Oct-24,October
E16825,Ronica,Phant,ronica.phant@rchg.org.uk,19-Oct-24,October
E13705,Myrilla,Tremouille,myrilla.tremouille@rchg.org.uk,15-Oct-21,October
E19875,Boycie,Francescuzzi,boycie.francescuzzi@rchg.org.uk,14-Oct-21,October
E17819,Haleigh,O'Donegan,haleigh.o'donegan@rchg.org.uk,22-Oct-20,October
E17910,Ewan,Annable,ewan.annable@rchg.org.uk,30-Oct-21,October
E13359,Lutero,Jochen,lutero.jochen@rchg.org.uk,25-Oct-21,October
E16496,Bradley,Francello,bradley.francello@rchg.org.uk,12-Oct-21,October
E17090,Nikkie,Catlow,nikkie.catlow@rchg.org.uk,13-Oct-23,October
E18813,Coop,Lindsay,coop.lindsay@rchg.org.uk,23-Oct-18,October
E16782,Hettie,Cuthill,hettie.cuthill@rchg.org.uk,29-Oct-24,October
E19535,Carl,Pennrington,carl.pennrington@rchg.org.uk,19-Oct-19,October
E16418,Rocky,Aizikovitch,rocky.aizikovitch@rchg.org.uk,25-Oct-19,October
E13488,Hadleigh,Camfield,hadleigh.camfield@rchg.org.uk,11-Oct-20,October
E18665,Curcio,Cleverly,curcio.cleverly@rchg.org.uk,8-Oct-22,October
E16668,Vivyan,Valek,vivyan.valek@rchg.org.uk,12-Oct-18,October
E17495,Maybelle,Austwick,maybelle.austwick@rchg.org.uk,10-Oct-21,October
E13195,Augie,Wivell,augie.wivell@rchg.org.uk,5-Oct-18,October
